Artist,Artist_id,Song,Song_id
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Baby (feat. Marina and The Diamonds & Luis Fonsi),5XWCc9wQes7X5uyYH9h5JR
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,How To Be A Heartbreaker,2Ow4Pmi0VOOLvbmJ8V70qo
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Primadonna,5tFMuAw6X2R4NLx97g7n9q
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Baby (feat. Marina and The Diamonds & Luis Fonsi) - Acoustic,2OUFkFRkNWxv6TF8Ap688K
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Teen Idle,7HSZigV3SjVlKrCfz2iR28
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Disconnect,0cNH1IsjBVRdeDcpwHAfve
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Baby (feat. Marina and The Diamonds & Luis Fonsi) - Martin Jensen Remix,3oJdwRH76czadbZ9462B3D
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Bubblegum Bitch,0ZFBKLOZLIM16RAUb5eomN
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Lies,2k4yzd3YejgP3kqOo0FOnS
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Froot,6fk13PEdduHc2HG6JX6imT
