Artist,Artist_id,Song,Song_id
WALK THE MOON,6DIS6PRrLS3wbnZsf7vYic,Shut Up and Dance,4kbj5MwxO1bq9wjT5g9HaA
WALK THE MOON,6DIS6PRrLS3wbnZsf7vYic,One Foot,0iQ77tSa7ncj7zBPtVx6cU
WALK THE MOON,6DIS6PRrLS3wbnZsf7vYic,Kamikaze,3YQ96qkxiEwTLwgu2Izcmq
WALK THE MOON,6DIS6PRrLS3wbnZsf7vYic,Anna Sun,3e0yTP5trHBBVvV32jwXqF
WALK THE MOON,6DIS6PRrLS3wbnZsf7vYic,All Night,53Y3z7kPzelQbBnhysjzlw
WALK THE MOON,6DIS6PRrLS3wbnZsf7vYic,Work This Body,76EeScTnI2sCjDY0SfEoSb
WALK THE MOON,6DIS6PRrLS3wbnZsf7vYic,Surrender,5OzQuvOzXq1wzZ5NsbjUYV
WALK THE MOON,6DIS6PRrLS3wbnZsf7vYic,Avalanche,3JxaZPq4UjkOaxnpyMUtAC
WALK THE MOON,6DIS6PRrLS3wbnZsf7vYic,Tightrope,44psOy0D0SP8rcIiUgKgBs
WALK THE MOON,6DIS6PRrLS3wbnZsf7vYic,Shut Up and Dance - Live Acoustic,3Xzog9enTvbsc0G7G9M58D
