Artist,Artist_id,Song,Song_id
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Perfect,0tgVpDi06FyKpA1z0VMD4v
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Shape of You,7qiZfU4dY1lWllzX7mPBI3
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Happier,2RttW7RAu5nOAfq6YFvApB
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Photograph,6fxVffaTuwjgEk5h9QyRjy
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Thinking Out Loud,1Slwb6dOYkBlWal1PGtnNg
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Perfect Duet (Ed Sheeran & Beyonc),1bhUWB0zJMIKr9yVPrkEuI
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Galway Girl,0afhq8XCExXpqazXczTSve
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Castle on the Hill,6PCUP3dWmTjcTtXY02oFdT
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Supermarket Flowers,4VuS959DSpr82t3qBqCrWG
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Dive,51ChrwmUPDJvedPQnIU8Ls
