Artist,Artist_id,Song,Song_id
Lil Yachty,6icQOAFXDZKsumw3YXyusw,Get Dripped (feat. Playboi Carti),3m2aDCqn8eT5ElXDUiboGU
Lil Yachty,6icQOAFXDZKsumw3YXyusw,Yacht Club (feat. Juice WRLD),5R2rsbwCDXORX2tLfprRmM
Lil Yachty,6icQOAFXDZKsumw3YXyusw,Gucci Flip Flops (feat. Lil Yachty),3hv6ndi7uFT9L9wrhQCsqY
Lil Yachty,6icQOAFXDZKsumw3YXyusw,Who Want The Smoke? (feat. Cardi B & Offset),3wqjGZfKW36WhUeLHTlKzg
Lil Yachty,6icQOAFXDZKsumw3YXyusw,66,6tarvNiKnEjYMj1VZhlDqR
Lil Yachty,6icQOAFXDZKsumw3YXyusw,Ice Tray,3wdfLVUhmX64lIyWIIEW8s
Lil Yachty,6icQOAFXDZKsumw3YXyusw,One Night,40yJGQyEaBbIkXpwMFkXip
Lil Yachty,6icQOAFXDZKsumw3YXyusw,SaintLaurentYSL (feat. Lil Baby),1Wc1SQwiThvSu9dMc5opth
Lil Yachty,6icQOAFXDZKsumw3YXyusw,NBAYOUNGBOAT,6K2anECyrckidwf5wxS78Q
Lil Yachty,6icQOAFXDZKsumw3YXyusw,MICKEY,3GxGAhRowXixzk521JQpZu
