Artist,Artist_id,Song,Song_id
Janelle Mone,6ueGR6SWhUJfvEhqkvMsVs,I Like That,2EznBGrlmx9wBeYgyDojsA
Janelle Mone,6ueGR6SWhUJfvEhqkvMsVs,Make Me Feel,5gW5dSy3vXJxgzma4rQuzH
Janelle Mone,6ueGR6SWhUJfvEhqkvMsVs,Pynk (feat. Grimes),5OpiyfqaQLdtwHd3SfembH
Janelle Mone,6ueGR6SWhUJfvEhqkvMsVs,Django Jane,56RfNBJGUgL1ZFCB1KEJrQ
Janelle Mone,6ueGR6SWhUJfvEhqkvMsVs,I Got The Juice (feat. Pharrell Williams),5Yfq9uugLFchtFymQQWxgt
Janelle Mone,6ueGR6SWhUJfvEhqkvMsVs,Screwed (feat. Zo Kravitz),1Z2MfAx1nJ09NzGjodnvRW
Janelle Mone,6ueGR6SWhUJfvEhqkvMsVs,Make Me Feel - EDX Dubai Skyline Remix,2m7QTaFkY4n1EEqZyVvAPe
Janelle Mone,6ueGR6SWhUJfvEhqkvMsVs,Venus Fly,3JI2mIJto0JuYbrq87aFqu
Janelle Mone,6ueGR6SWhUJfvEhqkvMsVs,Yoga,3IJCSQoLF4YzPAKaxq2JLb
Janelle Mone,6ueGR6SWhUJfvEhqkvMsVs,I Like That - Recorded at Spotify Studios NYC,2GATPLRMzHNwUmkxGgCoEP
