Artist,Artist_id,Song,Song_id
Cody Johnson,6zLBxLdl60ekBLpawtT63I,On My Way to You,1Xa0gIAsmt1vRlo2fXPZEr
Cody Johnson,6zLBxLdl60ekBLpawtT63I,With You I Am,34SQ0QfLSR316d8KL2zkuZ
Cody Johnson,6zLBxLdl60ekBLpawtT63I,Wild as You,4IZOdhEvXYWqh5XAXYzBk3
Cody Johnson,6zLBxLdl60ekBLpawtT63I,Me and My Kind,4rW9EUFaMSNVY8JhbqrB6z
Cody Johnson,6zLBxLdl60ekBLpawtT63I,Dear Rodeo,5k5SRQwH4gEXKFTvAZX0L4
Cody Johnson,6zLBxLdl60ekBLpawtT63I,Diamond In My Pocket,24Nt4OalWDICkEKVy81X6k
Cody Johnson,6zLBxLdl60ekBLpawtT63I,Dance Her Home,2g3vpJiqwswGJbUOSkCWqC
Cody Johnson,6zLBxLdl60ekBLpawtT63I,Half a Song,4EETgKkkLxXrsrc0q50K1P
Cody Johnson,6zLBxLdl60ekBLpawtT63I,Monday Morning Merle,7k8lV9QVdWdlfFk9GwWNIT
Cody Johnson,6zLBxLdl60ekBLpawtT63I,Fenceposts,7v626pocxM8U7DcYl5EuWa
