Artist,Artist_id,Song,Song_id
Kacey Musgraves,70kkdajctXSbqSMJbQO424,Slow Burn,6ET9kf9riLETWs9lePUEAI
Kacey Musgraves,70kkdajctXSbqSMJbQO424,Butterflies,30VHURM5NOfoZmqp2iKawS
Kacey Musgraves,70kkdajctXSbqSMJbQO424,High Horse,2U2Z1IXnmJIvlknWizFykZ
Kacey Musgraves,70kkdajctXSbqSMJbQO424,Follow Your Arrow,4CLPNURPcKztF9RRdcWLGP
Kacey Musgraves,70kkdajctXSbqSMJbQO424,Space Cowboy,5bum4HbCDFoB9wpsc0sQky
Kacey Musgraves,70kkdajctXSbqSMJbQO424,Golden Hour,0pMfPzdRiPAoSM9yWF4OcT
Kacey Musgraves,70kkdajctXSbqSMJbQO424,"Oh, What A World",5ToJzoVfLYyF7ohMOBNObi
Kacey Musgraves,70kkdajctXSbqSMJbQO424,Lonely Weekend,3420nZEhm99I1bLc6Yx4XH
Kacey Musgraves,70kkdajctXSbqSMJbQO424,Merry Go 'Round,5UDqWOgDdixYMAgAyNbpgh
Kacey Musgraves,70kkdajctXSbqSMJbQO424,Velvet Elvis,65krgqLiZqW12PZAUQ9l2x
