Artist,Artist_id,Song,Song_id
Jordan Davis,77kULmXAQ6vWer7IIHdGzI,Take It From Me,3dCZm5HrG0jIXAHfNkg2H0
Jordan Davis,77kULmXAQ6vWer7IIHdGzI,Singles You Up,4LiMQ6G9n84rDUBs9wtwz6
Jordan Davis,77kULmXAQ6vWer7IIHdGzI,Slow Dance In A Parking Lot,6MBUUSIWCzaXW4q58Ktrv9
Jordan Davis,77kULmXAQ6vWer7IIHdGzI,Going 'Round,533eZXKFBL7Lpk5zMIqxCB
Jordan Davis,77kULmXAQ6vWer7IIHdGzI,Leaving New Orleans,4CZ0nzD7AsWeSEElxKodqq
Jordan Davis,77kULmXAQ6vWer7IIHdGzI,Made That Way,2k4Chj6SG01uoySJzBK1lO
Jordan Davis,77kULmXAQ6vWer7IIHdGzI,Selfish,0eTCwA8AO9RhTaDz9A9cMW
Jordan Davis,77kULmXAQ6vWer7IIHdGzI,Tough To Tie Down,4rCj2HhRPVjV9Z4qUk7TuM
Jordan Davis,77kULmXAQ6vWer7IIHdGzI,So Do I,0MjbiK4r82QTmDiJPvBngj
Jordan Davis,77kULmXAQ6vWer7IIHdGzI,Take It From Me - Stripped,4kIFWBdE4nzdlMHqhR4dpv
