Artist,Artist_id,Song,Song_id
Dylan Scott,78YqeIji3mgAS2K1Maca6x,Hooked,3DV49ruvI5Sl6iisPZAc2c
Dylan Scott,78YqeIji3mgAS2K1Maca6x,My Girl,3izNaTiYdotdPL0Bs76JqO
Dylan Scott,78YqeIji3mgAS2K1Maca6x,Nothing To Do Town,3L5cSHbf7oBWubuCwJbUGt
Dylan Scott,78YqeIji3mgAS2K1Maca6x,I Lost You,2pLSgbc3CEXtoCXfuMOTmU
Dylan Scott,78YqeIji3mgAS2K1Maca6x,Jingle Bell Rock,3o5IChTvWMLHXkmnlSYI5z
Dylan Scott,78YqeIji3mgAS2K1Maca6x,Crazy Over Me,5Luq6Gx6Y6YXYdvPiLPOxf
Dylan Scott,78YqeIji3mgAS2K1Maca6x,Ball Cap,3UVzASrklZUKoPQBKH0ByK
Dylan Scott,78YqeIji3mgAS2K1Maca6x,Lay It On Me,1XoFGPzcfGUF5IhNSjRPDa
Dylan Scott,78YqeIji3mgAS2K1Maca6x,Give Me More (Stripped),6HNfFFlg1uVrrIhp11PcVQ
Dylan Scott,78YqeIji3mgAS2K1Maca6x,Do You Think About Me,6UHaAdGwWXkSukJJsMaQXn
