Artist,Artist_id,Song,Song_id
Foster The People,7gP3bB2nilZXLfPHJhMdvc,Pumped Up Kicks,7w87IxuO7BDcJ3YUqCyMTT
Foster The People,7gP3bB2nilZXLfPHJhMdvc,Sit Next to Me,4BdGO1CaObRD4La9l5Zanz
Foster The People,7gP3bB2nilZXLfPHJhMdvc,Worst Nites,7lVoniii4QwhNjCeHij2xZ
Foster The People,7gP3bB2nilZXLfPHJhMdvc,Houdini,5Fli1xRi01bvCjsZvKWro0
Foster The People,7gP3bB2nilZXLfPHJhMdvc,Sit Next to Me - Stereotypes Remix,4v0CuFW0bEMBQ1gRn2mB3X
Foster The People,7gP3bB2nilZXLfPHJhMdvc,Ride Or Die (feat. Foster The People),38Zr5Q5O5o6CYaioIRHSqL
Foster The People,7gP3bB2nilZXLfPHJhMdvc,Helena Beat,4VbDJMkAX3dWNBdn3KH6Wx
Foster The People,7gP3bB2nilZXLfPHJhMdvc,Don't Stop (Color on the Walls),4HRa9ZWcmZ8JD7UySPu0wT
Foster The People,7gP3bB2nilZXLfPHJhMdvc,Call It What You Want,3u1Er1rkjn1oSz1xdZH3ZD
Foster The People,7gP3bB2nilZXLfPHJhMdvc,I Would Do Anything for You,5fgb3Md1xjt3mxeBqguiIA
