Artist,Artist_id,Song,Song_id
Stevie Wonder,7guDJrEfX3qb6FEbdPA5qi,I Just Called To Say I Love You,6RNDeRnWsRMjPdNVgupZCs
Stevie Wonder,7guDJrEfX3qb6FEbdPA5qi,Superstition,1iVSCM5kZJMqXUnvKHighs
Stevie Wonder,7guDJrEfX3qb6FEbdPA5qi,What Christmas Means To Me,0Cm9tD9xlYNCgW3UeHioq2
Stevie Wonder,7guDJrEfX3qb6FEbdPA5qi,"Signed, Sealed, Delivered (I'm Yours)",4CB13d6Igb94cWMOQWY3JF
Stevie Wonder,7guDJrEfX3qb6FEbdPA5qi,For Once In My Life,4kP69y3GKHi9tXckfgp4bK
Stevie Wonder,7guDJrEfX3qb6FEbdPA5qi,Sir Duke,4RQgqR09VmHn345vRhKQ6T
Stevie Wonder,7guDJrEfX3qb6FEbdPA5qi,Isn't She Lovely,3vqlZUIT3rEmLaYKDBfb4Q
Stevie Wonder,7guDJrEfX3qb6FEbdPA5qi,You Are The Sunshine Of My Life,0n2pjCIMKwHSXoYfEbYMfX
Stevie Wonder,7guDJrEfX3qb6FEbdPA5qi,Higher Ground,0dMd4rilfd6gPbXaLpNYhu
Stevie Wonder,7guDJrEfX3qb6FEbdPA5qi,I Wish,74MfBIVOVHzQiJqfJ1dgTo
