Artist,Artist_id,Song,Song_id
Snoop Dogg,7hJcb9fa4alzcOq3EaNPoG,"Young, Wild & Free (feat. Bruno Mars)",6YbhspuOar1D9WSSnfe7ds
Snoop Dogg,7hJcb9fa4alzcOq3EaNPoG,Moves (feat. Snoop Dogg),6gLTlewjPtazYnOa9I5Bno
Snoop Dogg,7hJcb9fa4alzcOq3EaNPoG,"That's My N**** (with Meek Mill, YG & Snoop Dogg)",3i1B1PnsfnOQPGVIzhf1lr
Snoop Dogg,7hJcb9fa4alzcOq3EaNPoG,Gin And Juice (feat. Dat Nigga Daz),0WKYRFtH6KKbaNWjsxqm70
Snoop Dogg,7hJcb9fa4alzcOq3EaNPoG,Drop It Like It's Hot,2NBQmPrOEEjA8VbeWOQGxO
Snoop Dogg,7hJcb9fa4alzcOq3EaNPoG,Who Am I (What's My Name)?,5XhkV07Vou38wnrzwURUOC
Snoop Dogg,7hJcb9fa4alzcOq3EaNPoG,Penthouse (feat. Snoop Dogg),4s48nmzo7Um1Hcx52eNgSF
Snoop Dogg,7hJcb9fa4alzcOq3EaNPoG,Last Forever feat. Rick Ross and Snoop Dogg,5U1OcBfP61WcT2yTpXKx72
Snoop Dogg,7hJcb9fa4alzcOq3EaNPoG,Beautiful,7FrJV8tydWEv1Mxu2mIQrm
Snoop Dogg,7hJcb9fa4alzcOq3EaNPoG,"Ain't No Fun (If the Homies Cant Have None) (feat. Nate Dogg, Warren G & Kurupt)",4rLpAOk5KVNcqEMK3m6Lje
