Artist,Artist_id,Song,Song_id
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Lonely Boy,5G1sTBGbZT5o4PNRc75RKI
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Howlin' For You,0grFc6klR3hxoHLcgCYsF4
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Gold On The Ceiling,5lN1EH25gdiqT1SFALMAq1
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Little Black Submarines,1PXsUXSM3LF2XNSkmIldPb
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Tighten Up,2MVwrvjmcdt4MsYYLCYMt8
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Fever,3Hx7RXqCS7Kzjy2ot2q1Gk
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Weight of Love,3xMQOd1C3TXsjQ3pmzOmkC
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Everlasting Light,6dU5RxthbuaN31bRbEDlNw
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Turn Blue,1pwWrPxonLIE12WWu9NzgU
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Dead And Gone,3UD4sghkq8dHUwvKxln1nB
