Artist,Artist_id,Song,Song_id
Johnny Hartman,7qVvIFc9DktkAc0HKzRhNo,My One And Only Love,1BPmVDqR4cX9aFC0Qx0eWn
Johnny Hartman,7qVvIFc9DktkAc0HKzRhNo,They Say It's Wonderful,3VhAS0ferVrcN4ANKnGCmM
Johnny Hartman,7qVvIFc9DktkAc0HKzRhNo,They Didn't Believe Me,0KUSWy4fXCufHpuvvzAsuH
Johnny Hartman,7qVvIFc9DktkAc0HKzRhNo,I See Your Face Before Me,2vCkgrqIdqbcf8Wyyp4V01
Johnny Hartman,7qVvIFc9DktkAc0HKzRhNo,Our Love Is Here To Stay,5C1zrbkEKasNrE3qP8vs0T
Johnny Hartman,7qVvIFc9DktkAc0HKzRhNo,What Is There to Say,5iOc7ArRS1yRIbwkHAZYne
Johnny Hartman,7qVvIFc9DktkAc0HKzRhNo,A Slow Hot Wind,5rNXLShBYJMRiKC5tgG7ys
Johnny Hartman,7qVvIFc9DktkAc0HKzRhNo,Lush Life,4xPO2pWQUBPCcGXCCKswRS
Johnny Hartman,7qVvIFc9DktkAc0HKzRhNo,Lush Life (Live),6VNuGbsfrhkAabLSF1aI8W
Johnny Hartman,7qVvIFc9DktkAc0HKzRhNo,Autumn Serenade,6HokrlPKEdNaQhehqB29sG
