Artist,Artist_id,Song,Song_id
Josh Turner,7vCtweS8UVAXTyau2j0rDT,Hometown Girl,5C6uh95eAL0RBTSGXKQwvk
Josh Turner,7vCtweS8UVAXTyau2j0rDT,Your Man,1WzAeadSKJhqykZFbJNmQv
Josh Turner,7vCtweS8UVAXTyau2j0rDT,Why Don't We Just Dance,2p07VcUwRZ5sru3mJ0JogS
Josh Turner,7vCtweS8UVAXTyau2j0rDT,Would You Go With Me,1KhrAWvLIjRlQIJtSTgvsi
Josh Turner,7vCtweS8UVAXTyau2j0rDT,Long Black Train,2HqCaO7BV010qXS5FuiTED
Josh Turner,7vCtweS8UVAXTyau2j0rDT,Time Is Love,2rg3yLJKN5Yl4JCHHkMgeC
Josh Turner,7vCtweS8UVAXTyau2j0rDT,Lay Low,5CdOqNxkQ7054Rp86f5OWi
Josh Turner,7vCtweS8UVAXTyau2j0rDT,I Wouldn't Be A Man,3ga3cmO4mb9dMhysyJUEaH
Josh Turner,7vCtweS8UVAXTyau2j0rDT,I Serve A Savior,6bbCmkbeIFlq3ZWHXz3MyR
Josh Turner,7vCtweS8UVAXTyau2j0rDT,Firecracker,5JtRN8PCpxoL03vnIpZXc7
