Artist,Artist_id,Song,Song_id
ODIE,nan,Easy,1JQ6Xm1JrvHfvAqhl5pwaA
ODIE,nan,Brick House,5VJjhHyG8NZ5xdgG6uTb3P
ODIE,nan,Nightshift,23IK8TF2MSiLnuEjaYPfVV
ODIE,nan,Machine Gun,3mQTPYezPCB9uUM3WpkIff
ODIE,nan,Slippery When Wet,7a13xzsyUJGciP6Wr3Ku6R
ODIE,nan,Three Times A Lady,4ztwMHfPZhPoruZdBbgriM
ODIE,nan,Three Times A Lady,2uTGX4wxnRGS3i0FSOMGCQ
ODIE,nan,Lady (You Bring Me Up),5CLozJK4pKWoPpFf2Z1Mye
ODIE,nan,Too Hot Ta Trot,7sP4EhJqFnud6mrG6VbjQx
ODIE,nan,Zoom,14Tj6yYXItEhy466a0yeR0
